Time (ms),CO2 (ppm),NH3 (ppm),VOC (ppm)
0,426,2,7
2000,426,2,7
4002,854,11,53
6004,818,10,50
8005,1173,18,88
10007,786,10,46
12009,431,2,8
14011,435,2,8
16012,431,2,8
18014,435,2,8
20016,435,2,8
22017,435,2,8
24018,440,2,9
26020,440,2,9
28021,444,2,9
30023,453,3,10
32025,453,3,10
34026,467,3,12
36028,480,3,13
38030,489,3,14
40032,494,4,15
42033,503,4,16
44035,512,4,17
46036,521,4,18
48038,530,4,19
50039,539,4,20
52041,552,5,21
54043,561,5,22
56044,570,5,23
58046,579,5,24
60048,584,5,24
62050,593,6,25
64051,606,6,27
66053,597,6,26
68055,584,5,24
70056,570,5,23
72057,570,5,23
74059,570,5,23
76061,575,5,23
78062,579,5,24
80064,579,5,24
82066,588,6,25
84068,597,6,26
86069,602,6,26
88071,611,6,27
90073,620,6,28
92073,624,6,29
94075,1542,26,127
96077,1996,36,176
98079,2081,37,185
100081,2117,38,189
102083,2140,39,192
104085,2153,39,193
106086,2162,39,194
108088,2176,39,196
110090,2189,40,197
112092,2198,40,198
114094,2207,40,199
116096,2216,40,200
118097,2221,40,200
120099,2225,40,201
122101,2234,41,202
124103,2234,41,202
126104,2239,41,202
128106,2239,41,202
130108,2239,41,202
132110,2239,41,202
134112,2243,41,203
136114,2243,41,203
138116,2243,41,203
138116,2243,41,203
138116,2243,41,203
138116,2243,41,203
138116,2243,41,203
138116,2243,41,203
138116,2243,41,203
138116,2243,41,203
138116,2243,41,203
138116,2243,41,203
138116,2243,41,203
138116,2243,41,203
138116,2239,41,202
138116,2239,41,202
138116,2239,41,202
138116,2239,41,202
138116,2239,41,202
138116,2239,41,202
138116,2239,41,202
138116,2239,41,202
138116,2239,41,202
138116,2239,41,202
138116,2239,41,202
138116,2239,41,202
138116,2239,41,202
138116,2239,41,202
138116,2239,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2234,41,202
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
138116,2230,40,201
